Flight,To,STD,Departed,Arrived,Duration,Terminal,Gate
D7679 XAX679, Kuala Lumpur (KUL / WMKK),14:40 UTC+08,14:40 UTC+08 ,16:12 UTC+08,1h 32m,4,G18
3K535 JSA535, Phuket (HKT / VTSP),14:40 UTC+08,14:39 UTC+08 ,15:55 UTC+07,2h 16m,1,C24
TR674 TGW674, Chiang Mai (CNX / VTCC),14:45 UTC+08,14:45 UTC+08 ,17:25 UTC+07,3h 40m,1,C20
SQ872 SIA872, Hong Kong (HKG / VHHH),14:45 UTC+08,15:22 UTC+08 ,19:30 HKT,4h 8m,3,A1
JT155 LNI155, Jakarta (CGK / WIII),14:50 UTC+08,14:50 UTC+08 ,16:18 WIB,2h 28m,3,B3
PR508 PAL508, Manila (MNL / RPLL),14:50 UTC+08,15:53 UTC+08 ,19:38 PST,3h 45m,1,C15
TR390 TGW390, Manila (MNL / RPLL),14:50 UTC+08,14:50 UTC+08 ,19:23 PST,4h 33m,1,C11
AK712 AXM712, Kuala Lumpur (KUL / WMKK),14:55 UTC+08,14:58 UTC+08 ,16:49 UTC+08,1h 51m,4,G4
VJ916 VJC916, Hanoi (HAN / VVNB),14:55 UTC+08,14:55 UTC+08 ,17:46 UTC+07,3h 51m,4,G2
FD356 AIQ356, Bangkok (DMK / VTBD),15:00 UTC+08,16:28 UTC+08 ,18:01 UTC+07,2h 33m,4,G10
UL303 ALK303, Colombo (CMB / VCBI),15:00 UTC+08,14:59 UTC+08 ,16:45 UTC+0530,4h 16m,3,A18
MI330 SLK330, Kuala Lumpur (KUL / WMKK),15:05 UTC+08,16:23 UTC+08 ,17:24 UTC+08,1h 1m,2,E6
SQ494 SIA494, Dubai (DXB / OMDB),15:05 UTC+08,17:37 UTC+08 ,21:01 UTC+04,7h 24m,3,B4
SQ188 SIA188, Hanoi (HAN / VVNB),15:10 UTC+08,15:40 UTC+08 ,18:01 UTC+07,3h 21m,2,F31
TR508 TGW508, Amritsar (ATQ / VIAR),15:10 UTC+08,15:10 UTC+08 ,19:21 IST,6h 41m,1,D49
MI518 SLK518, Yangon (RGN / VYYY),15:15 UTC+08,17:27 UTC+08 ,18:50 UTC+0630,2h 53m,2,F40
MF866 CXA866, Fuzhou (FOC / ZSFZ),15:15 UTC+08,20:50 UTC+08 ,00:43 CST,3h 53m,1,D40
GA833 GIA833, Jakarta (CGK / WIII),15:20 UTC+08,16:04 UTC+08 ,16:38 WIB,1h 33m,3,A19
SQ960 SIA960, Jakarta (CGK / WIII),15:20 UTC+08,16:53 UTC+08 ,17:45 WIB,1h 52m,2,E3
TR288 TGW288, Denpasar (DPS / WADD),15:20 UTC+08,15:20 UTC+08 ,18:57 WITA,3h 37m,1,C19
SQ976 SIA976, Bangkok (BKK / VTBS),15:30 UTC+08,15:59 UTC+08 ,17:23 UTC+07,2h 24m,2,F42
TR386 TGW386, Angeles City (CRK / RPLC),15:30 UTC+08,15:30 UTC+08 ,19:29 PST,3h 59m,1,D38
TR486 TGW486, Ipoh (IPH / WMKI),15:35 UTC+08,16:14 UTC+08 ,16:59 UTC+08,45m,1,D30
3K245 JSA245, Denpasar (DPS / WADD),15:40 UTC+08,16:02 UTC+08 ,18:51 WITA,2h 49m,1,C16
MI352 SLK352, Penang (PEN / WMKP),15:45 UTC+08,16:13 UTC+08 ,17:25 UTC+08,1h 12m,2,F41
BR216 EVA216, Taipei (TPE / RCTP),15:45 UTC+08,16:55 UTC+08 ,22:06 CST,5h 11m,3,B7
ET638 ETH638, Kuala Lumpur (KUL / WMKK),15:50 UTC+08,16:43 UTC+08 ,17:10 UTC+08,1h 20m,2,E20
BG85 BBC085, Dhaka (DAC / VGHS),15:50 UTC+08,15:50 UTC+08 ,19:20 UTC+06,5h 30m,1,D35
TG414 THA414, Bangkok (BKK / VTBS),15:55 UTC+08,16:51 UTC+08 ,18:10 UTC+07,2h 19m,1,C23
TR308 TGW308, Hanoi (HAN / VVNB),15:55 UTC+08,15:55 UTC+08 ,18:51 UTC+07,3h 56m,1,D40
TR596 TGW596, Jeddah (JED / OEJN),16:00 UTC+08,16:00 UTC+08 ,23:16 UTC+03,12h 16m,1,C22
TR610 TGW610, Bangkok (BKK / VTBS),16:00 UTC+08,16:00 UTC+08 ,18:29 UTC+07,3h 29m,1,C13
CA404 CCA404, Chengdu (CTU / ZUUU),16:00 UTC+08,16:00 UTC+08 ,21:38 CST,5h 38m,1,D40
TR420 TGW420, Penang (PEN / WMKP),16:05 UTC+08,16:08 UTC+08 ,17:24 UTC+08,1h 16m,1,C24
MI128 SLK128, Lombok (LOP / WADL),16:05 UTC+08,16:38 UTC+08 ,19:19 WITA,2h 41m,2,E7
SQ962 SIA962, Jakarta (CGK / WIII),16:10 UTC+08,16:57 UTC+08 ,17:44 WIB,1h 47m,2,F50
MI340 SLK340, Kuala Lumpur (KUL / WMKK),16:10 UTC+08,19:32 UTC+08 ,20:40 UTC+08,1h 8m,2,E2
TR302 TGW302, Ho Chi Minh City (SGN / VVTS),16:10 UTC+08,16:10 UTC+08 ,17:36 UTC+07,2h 26m,1,C18
VN662 HVN662, Hanoi (HAN / VVNB),16:10 UTC+08,16:43 UTC+08 ,18:49 UTC+07,3h 6m,4,G17
QZ503 AWQ503, Denpasar (DPS / WADD),16:15 UTC+08,16:43 UTC+08 ,19:19 WITA,2h 36m,4,G7
MF852 CXA852, Xiamen (XMN / ZSAM),16:15 UTC+08,21:31 UTC+08 ,01:44 CST,4h 13m,1,D30
MU568 CES568, Shanghai (PVG / ZSPD),16:15 UTC+08,18:18 UTC+08 ,23:30 CST,5h 12m,3,A15
SQ946 SIA946, Denpasar (DPS / WADD),16:20 UTC+08,17:50 UTC+08 ,20:33 WITA,2h 43m,2,F56
MI756 SLK756, Phuket (HKT / VTSP),16:25 UTC+08,17:20 UTC+08 ,18:05 UTC+07,1h 45m,2,F37
SQ406 SIA406, Delhi (DEL / VIDP),16:25 UTC+08,17:18 UTC+08 ,20:24 IST,5h 36m,3,A10
MI226 SLK226, Surabaya (SUB / WARR),16:30 UTC+08,17:11 UTC+08 ,18:38 WIB,2h 27m,2,F32
ID7156 BTK7156, Jakarta (CGK / WIII),16:35 UTC+08,16:35 UTC+08 ,17:20 WIB,1h 45m,1,A17
MI608 SLK608, Phnom Penh (PNH / VDPP),16:35 UTC+08,17:43 UTC+08 ,18:47 UTC+07,2h 4m,2,F30
3K765 JSA765, Manila (MNL / RPLL),16:35 UTC+08,17:04 UTC+08 ,20:56 PST,3h 52m,1,C17
AK714 AXM714, Kuala Lumpur (KUL / WMKK),16:35 UTC+08,18:03 UTC+08 ,19:01 UTC+08,58m,4,G9
MH620 MAS620, Kuala Lumpur (KUL / WMKK),16:35 UTC+08,16:59 UTC+08 ,17:57 UTC+08,58m,2,E2
CX734 CPA734, Hong Kong (HKG / VHHH),16:40 UTC+08,17:30 UTC+08 ,21:19 HKT,3h 49m,4,G19
SQ116 SIA116, Kuala Lumpur (KUL / WMKK),16:45 UTC+08,17:46 UTC+08 ,18:49 UTC+08,1h 3m,2,E4
5J538 CEB538, Angeles City (CRK / RPLC),16:50 UTC+08,17:45 UTC+08 ,21:33 PST,3h 48m,4,G2
TR188 TGW188, Hangzhou (HGH / ZSHC),16:50 UTC+08,16:50 UTC+08 ,22:32 CST,5h 42m,1,D41
VJ814 VJC814, Ho Chi Minh City (SGN / VVTS),16:55 UTC+08,16:55 UTC+08 ,18:42 UTC+07,2h 47m,4,G11
SQ806 SIA806, Beijing (PEK / ZBAA),16:55 UTC+08,17:23 UTC+08 ,23:35 CST,6h 12m,3,A11
OD808 MXD808, Kuala Lumpur (KUL / WMKK),17:00 UTC+08,21:20 UTC+08 ,21:57 UTC+08,37m,3,A12
SV837 SVA837, Jeddah (JED / OEJN),17:00 UTC+08,18:14 UTC+08 ,22:40 UTC+03,9h 26m,3,B8
ID7150 BTK7150, Jakarta (CGK / WIII),17:05 UTC+08,17:05 UTC+08 ,17:49 WIB,1h 44m,1,A18
FD354 AIQ354, Bangkok (DMK / VTBD),17:05 UTC+08,17:39 UTC+08 ,18:59 UTC+07,2h 20m,4,G8
SQ836 SIA836, Shanghai (PVG / ZSPD),17:05 UTC+08,17:43 UTC+08 ,22:47 CST,5h 4m,3,B5
SQ982 SIA982, Bangkok (BKK / VTBS),17:10 UTC+08,17:33 UTC+08 ,18:56 UTC+07,2h 23m,2,F58
SQ964 SIA964, Jakarta (CGK / WIII),17:20 UTC+08,18:00 UTC+08 ,18:44 WIB,1h 44m,2,F35
PG968 BKP968, Koh Samui (USM / VTSM),17:20 UTC+08,17:11 UTC+08 ,18:21 UTC+07,2h 10m,1,C16
MH608 MAS608, Kuala Lumpur (KUL / WMKK),17:25 UTC+08,21:12 UTC+08 ,22:13 UTC+08,1h 1m,2,F52
ZH9024 CSZ9024, Shenzhen (SZX / ZGSZ),17:25 UTC+08,22:22 UTC+08 ,02:32 CST,4h 10m,1,D37
SQ630 SIA630, Tokyo (HND / RJTT),17:25 UTC+08,17:45 UTC+08 ,01:07 JST,6h 22m,3,A14
TR616 TGW616, Bangkok (BKK / VTBS),17:30 UTC+08,17:30 UTC+08 ,19:04 UTC+07,2h 34m,1,E28
SQ186 SIA186, Ho Chi Minh City (SGN / VVTS),17:30 UTC+08,18:02 UTC+08 ,19:08 UTC+07,2h 6m,2,E5
3K583 JSA583, Yangon (RGN / VYYY),17:30 UTC+08,17:46 UTC+08 ,19:22 UTC+0630,3h 6m,1,C15
KL835 KLM835, Denpasar (DPS / WADD),17:35 UTC+08,18:21 UTC+08 ,20:49 WITA,2h 28m,1,C20
AK1792 AXM1792, Kota Kinabalu (BKI / WBKK),17:35 UTC+08,18:03 UTC+08 ,20:33 UTC+08,2h 30m,4,G4
MI416 SLK416, Kathmandu (KTM / VNKT),17:40 UTC+08,19:14 UTC+08 ,21:51 UTC+0545,4h 52m,2,F52
GA835 GIA835, Jakarta (CGK / WIII),17:45 UTC+08,17:45 UTC+08 ,18:52 WIB,2h 7m,3,A19
MI938 SLK938, Chengdu (CTU / ZUUU),17:45 UTC+08,18:49 UTC+08 ,23:23 CST,4h 34m,2,E6
QZ507 AWQ507, Denpasar (DPS / WADD),17:50 UTC+08,18:20 UTC+08 ,21:00 WITA,2h 40m,4,G10
CZ3040 CSN3040, Guangzhou (CAN / ZGGG),17:50 UTC+08,17:57 UTC+08 ,22:16 CST,4h 19m,1,D35
CA776 CCA776, Beijing (PEK / ZBAA),17:50 UTC+08,18:21 UTC+08 ,00:13 CST,5h 52m,1,D42
CX716 CPA716, Hong Kong (HKG / VHHH),18:00 UTC+08,18:33 UTC+08 ,22:03 HKT,3h 29m,4,G18
